Hour,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0:00,,2856,2735,2354,1980,1901,984,1810,1190,1403,2250,2986
1:00,1065,2717,2700,2292,1851,1740,859,1663,1152,1258,2199,2890
2:00,1000,2658,2722,2307,1774,1638,791,1509,1007,1266,2139,2846
3:00,961,2661,2740,2363,1761,1587,833,1478,850,1219,2123,2848
4:00,889,2657,2784,2459,1767,1611,942,1517,852,1207,2131,2815
5:00,855,2717,2850,2603,1756,1546,1021,1539,836,1274,2212,2799
6:00,883,2880,3088,2905,1704,1521,1174,1554,919,1482,2388,2822
7:00,985,3287,3512,3412,1671,1539,1438,1723,1124,1926,2748,2882
8:00,1083,3652,3741,3707,1805,1607,1596,1967,1301,2243,3064,2909
9:00,1143,3730,3747,3713,1971,1666,1683,2192,1521,2433,3130,2947
10:00,1222,3765,3709,3575,2045,1647,1762,2283,1712,2512,3048,3048
11:00,1340,3799,3657,3433,2072,1665,1819,2276,1712,2486,2994,3071
12:00,1436,3749,3515,3246,2100,1656,1782,2310,1631,2457,2913,3064
13:00,1453,3675,3406,3079,2048,1523,1780,2286,1736,2450,2719,3051
14:00,1495,3600,3320,3013,1928,1376,1769,2284,1779,2496,2691,2954
15:00,1577,3538,3252,2931,1814,1232,1701,2290,1844,2527,2670,2898
16:00,1703,3532,3242,2822,1685,1060,1565,2296,1902,2528,2645,2908
17:00,1965,3538,3256,2761,1547,1071,1521,2274,1890,2580,2704,2981
18:00,2021,3698,3415,2768,1483,1131,1548,2267,1943,2623,2750,3026
19:00,1941,3631,3539,2840,1403,1223,1522,2225,2032,2634,2554,2939
20:00,1807,3443,3402,2865,1479,1328,1388,2205,2019,2644,2321,2788
21:00,1681,3193,3228,2853,1526,1450,1375,2106,2120,2367,2207,2757
22:00,1576,2999,3082,2557,1438,1472,1291,2055,2007,2088,2129,2660
23:00,1482,2879,2881,2221,1284,1546,1271,1911,1836,1920,2080,2493
0:00,1340,2737,2641,2089,1136,1471,1086,1689,1691,1719,2042,2338
1:00,1276,2595,2430,1998,1010,1356,948,1543,1488,1614,2012,2211
2:00,1233,2498,2347,1896,937,1311,859,1437,1361,1559,2011,2124
3:00,1248,2494,2299,1788,840,1267,840,1400,1353,1519,2017,2179
4:00,1278,2487,2311,1810,831,1286,796,1386,1379,1507,2036,2225
5:00,1384,2478,2365,1857,882,1297,734,1418,1398,1521,2091,2309
6:00,1596,2510,2480,2014,964,1350,814,1447,1510,1737,2158,2528
7:00,1883,2613,2628,2409,1332,1445,1059,1678,1750,2163,2207,3018
8:00,2247,2785,2724,2693,1638,1560,1317,1968,2090,2482,2316,3441
9:00,2421,2898,2927,2716,1744,1685,1422,2156,2213,2623,2471,3545
10:00,2517,3052,2997,2500,1718,1890,1470,2231,2162,2726,2610,3547
11:00,2526,3129,3088,2260,1811,1992,1501,2295,2090,2748,2705,3618
12:00,2452,3225,3021,2132,1808,2050,1498,2329,2022,2717,2699,3580
13:00,2427,3280,2990,2052,1929,2057,1411,2313,1872,2669,2696,3497
14:00,2448,3178,2916,1971,1905,2037,1414,2258,1951,2595,2656,3528
15:00,2501,3020,2811,1922,1778,1990,1404,2151,1934,2563,2581,3421
16:00,2663,2926,2762,1889,1685,1946,1411,2056,1945,2524,2617,3485
17:00,2900,3056,2758,1826,1628,1949,1382,2007,1875,2506,2682,3580
18:00,3031,3283,2831,1873,1781,1999,1434,2027,1958,2694,2739,3581
19:00,2976,3243,2864,2062,1901,2064,1504,2000,2009,2708,2655,3525
20:00,2897,3154,2692,2238,2007,2153,1567,1952,2031,2856,2476,3515
21:00,2842,2914,2462,2288,2079,2080,1643,1920,2067,2703,2376,3398
22:00,2744,2801,2353,2149,2157,1875,1694,1896,1929,2514,2292,3214
23:00,2629,2699,2253,1860,2046,1662,1628,1855,1789,2318,2166,3035
