Hour,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0:00,,3192,2909,2665,2077,2105,2089,1912,1740,2509,2490,3091
1:00,2386,3051,2860,2607,1958,1947,1963,1758,1712,2337,2444,2988
2:00,2348,2984,2849,2598,1880,1858,1867,1607,1655,2297,2367,2938
3:00,2339,2983,2842,2621,1861,1849,1861,1579,1565,2242,2329,2932
4:00,2285,2977,2866,2673,1865,1883,1903,1609,1591,2211,2313,2906
5:00,2263,3040,2924,2777,1862,1832,1921,1636,1521,2257,2369,2909
6:00,2301,3214,3169,3040,1825,1842,2047,1647,1554,2398,2539,2946
7:00,2399,3628,3602,3508,1829,1874,2332,1824,1730,2776,2896,3026
8:00,2510,4001,3832,3772,1961,1994,2575,2084,1879,3031,3216,3079
9:00,2570,4069,3825,3754,2156,2116,2683,2288,2033,3138,3296,3144
10:00,2647,4128,3781,3603,2271,2189,2761,2357,2180,3175,3261,3257
11:00,2749,4149,3729,3460,2348,2275,2850,2355,2151,3141,3245,3294
12:00,2834,4084,3582,3281,2459,2364,2865,2366,2069,3086,3215,3297
13:00,2805,4024,3466,3132,2485,2310,2881,2335,2145,3043,3094,3304
14:00,2824,3949,3374,3092,2425,2239,2918,2329,2172,3039,3090,3239
15:00,2898,3874,3297,3030,2367,2185,2873,2342,2281,3039,3105,3230
16:00,2982,3856,3280,2949,2348,2058,2770,2324,2303,2995,3107,3309
17:00,3215,3858,3292,2923,2287,2082,2695,2296,2300,3006,3216,3424
18:00,3260,4020,3459,2964,2281,2146,2776,2299,2328,3012,3325,3488
19:00,3182,3962,3594,3072,2245,2216,2753,2264,2377,3007,3203,3425
20:00,3068,3782,3470,3153,2414,2197,2582,2238,2318,3038,2996,3282
21:00,2988,3523,3314,3206,2494,2228,2528,2147,2399,2812,2850,3233
22:00,2901,3328,3199,2971,2413,2175,2413,2115,2270,2592,2710,3126
23:00,2821,3208,3034,2718,2232,2193,2365,1995,2110,2452,2610,2934
0:00,2686,3077,2843,2644,2103,2078,2178,1792,1954,2275,2507,2782
1:00,2632,2944,2717,2578,2026,1956,2060,1673,1740,2186,2424,2680
2:00,2582,2852,2666,2489,1995,1877,1973,1599,1630,2134,2378,2566
3:00,2596,2868,2638,2441,1939,1811,1964,1593,1630,2101,2350,2573
4:00,2622,2896,2668,2509,1955,1806,1930,1593,1671,2094,2338,2578
5:00,2721,2912,2718,2604,2037,1770,1877,1633,1703,2104,2349,2634
6:00,2921,2969,2835,2781,2158,1752,1968,1643,1817,2297,2381,2844
7:00,3185,3074,2970,3192,2549,1766,2230,1830,2064,2716,2401,3318
8:00,3529,3257,3049,3488,2873,1832,2525,2067,2402,3013,2481,3732
9:00,3690,3379,3238,3537,2963,1889,2661,2236,2555,3101,2614,3836
10:00,3763,3557,3315,3370,2909,2065,2746,2308,2554,3140,2732,3814
11:00,3754,3618,3429,3198,3040,2161,2806,2364,2545,3098,2800,3862
12:00,3670,3720,3382,3134,2964,2161,2825,2379,2537,3050,2794,3825
13:00,3629,3787,3377,3101,3047,2151,2735,2355,2445,2996,2784,3735
14:00,3626,3703,3333,3046,2946,2117,2712,2307,2577,2894,2753,3786
15:00,3656,3571,3233,3003,2789,2075,2663,2211,2629,2855,2721,3752
16:00,3788,3494,3198,2987,2653,2022,2610,2124,2648,2800,2757,3849
17:00,3991,3613,3228,2921,2577,2046,2548,2088,2588,2743,2847,3970
18:00,4059,3801,3299,2948,2716,2114,2546,2128,2612,2875,2923,3994
19:00,3966,3739,3350,3099,2764,2200,2528,2103,2594,2895,2871,3907
20:00,3834,3605,3182,3249,2787,2318,2501,2056,2531,3025,2711,3862
21:00,3733,3331,2954,3273,2742,2297,2507,2016,2529,2896,2603,3725
22:00,3557,3183,2835,3118,2716,2188,2535,2004,2360,2717,2518,3520
23:00,3393,3055,2750,2860,2534,2106,2448,1970,2193,2549,2387,3326
0:00,3147,2873,2576,2651,2394,1895,2264,1853,1998,2289,2269,3142
1:00,3013,2847,2568,2525,2182,1835,2080,1710,1915,2173,2227,3042
2:00,2827,2827,2501,2494,2090,1731,1955,1625,1845,2152,2182,3018
3:00,2686,2812,2485,2467,2154,1593,1954,1564,1818,2150,2167,3062
4:00,2665,2824,2473,2470,2228,1699,1963,1525,1849,2154,2122,3049
5:00,2756,2855,2445,2565,2376,1807,1901,1512,1867,2230,2106,3065
6:00,3007,2840,2421,2742,2469,1942,2040,1468,1992,2389,2146,3287
7:00,3369,2897,2459,3121,2681,2301,2443,1496,2249,2739,2174,3624
8:00,3684,3002,2516,3486,2952,2749,2690,1608,2481,3124,2214,3871
9:00,3885,3125,2635,3611,2988,2857,2764,1766,2753,3267,2302,3860
10:00,3889,3282,2738,3518,2890,2811,2760,1905,2866,3270,2447,3776
11:00,3896,3407,2809,3489,2827,2848,2729,1956,2861,3227,2592,3770
12:00,3891,3559,2857,3409,2810,2849,2743,1983,2923,3226,2601,3820
13:00,3828,3588,2792,3307,2773,2743,2680,1979,2979,3182,2666,3769
14:00,3816,3520,2639,3269,2672,2722,2670,1903,2992,3142,2636,3758
15:00,3810,3466,2617,3196,2607,2781,2603,1841,2945,3120,2612,3781
16:00,3913,3472,2691,3131,2665,2544,2654,1814,2819,3125,2627,3859
17:00,4079,3604,2770,3044,2686,2614,2565,1883,2700,3064,2787,3865
18:00,4030,3872,3032,3105,2660,2765,2579,1947,2666,3055,2950,3828
19:00,3953,3891,3316,3181,2596,2614,2581,1960,2656,3078,2898,3675
20:00,3833,3818,3260,3265,2706,2521,2519,1986,2663,3106,2768,3552
21:00,3654,3587,3137,3259,2703,2303,2444,1950,2603,2978,2670,3473
22:00,3435,3452,2929,3016,2550,1882,2420,1944,2415,2802,2558,3295
23:00,3232,3349,2706,2789,2354,455,2380,1893,2206,2658,2381,3079
0:00,2981,3253,2679,2599,2298,428,2201,1749,2040,2472,2249,2792
1:00,2908,3152,2582,2426,2168,1915,1966,1597,1955,2322,2240,2534
2:00,2757,3038,2607,2361,2139,1817,1893,1522,1856,2263,2230,2487
3:00,2729,3018,2560,2357,2071,1808,1887,1482,1806,2259,2241,2489
4:00,2735,3054,2500,2419,2088,1914,1874,1492,1801,2278,2187,2544
5:00,2773,3129,2516,2477,2106,1896,1838,1496,1794,2343,2232,2528
6:00,2902,3329,2774,2656,2093,1928,1991,1446,1959,2481,2381,2689
7:00,3199,3789,3225,2985,2161,2185,2380,1439,2262,2890,2791,3149
8:00,3552,4177,3396,3304,2290,2543,2698,1528,2585,3202,3170,3578
9:00,3771,4224,3579,3460,2404,2696,2715,1680,2781,3284,3269,3626
10:00,3734,4191,3658,3396,2433,2693,2756,1809,2788,3305,3311,3622
11:00,3819,4124,3747,3400,2468,2735,2815,1890,2825,3298,3396,3718
12:00,3774,4042,3712,3325,2446,2704,2842,1933,2817,3231,3365,3724
13:00,3663,3962,3601,3206,2413,2712,2886,1942,2761,3057,3289,3578
14:00,3611,4013,3712,3120,2389,2665,2861,1921,2754,2974,3308,3594
15:00,3498,4021,3761,3042,2357,2666,2808,1864,2781,2947,3340,3590
16:00,3420,4014,3695,2999,2292,2668,2796,1831,2732,2865,3361,3679
17:00,3523,3941,3622,2970,2265,2581,2755,1857,2673,2806,3440,3718
18:00,3590,4033,3661,3011,2303,2591,2706,1955,2700,2876,3496,3721
19:00,3490,3986,3805,3028,2352,2512,2675,2010,2704,2972,3386,3632
20:00,3266,3868,3749,3040,2335,2448,2605,1997,2687,2970,3296,3571
21:00,3130,3760,3611,3026,2389,2374,2556,1991,2687,2787,3085,3457
22:00,2971,3616,3450,2883,2403,2254,2483,2008,2539,2626,2910,3305
23:00,2827,3358,3267,2682,2319,2235,2469,1934,2227,2486,2784,3083
0:00,2720,3190,3092,2447,2200,2085,2289,1791,2035,2371,2622,2869
1:00,2629,3095,2846,2285,2133,1959,2114,1639,1949,2352,2528,2715
2:00,2567,3054,2762,2272,2138,1816,1976,1585,1846,2298,2511,2606
3:00,2545,3043,2722,2298,2149,1786,1867,1570,1777,2227,2525,2515
4:00,2508,3031,2632,2344,2191,1753,1859,1569,1815,2227,2543,2543
5:00,2535,3107,2672,2412,2292,1637,1800,1592,1792,2238,2646,2680
6:00,2564,3267,2857,2598,2218,1729,1952,1636,1898,2294,2877,2904
7:00,2668,3685,3312,2963,2150,2078,2320,1917,2146,2371,3240,3314
8:00,2763,4143,3684,3295,2149,2513,2569,2224,2486,2451,3576,3627
9:00,2936,4082,3837,3388,2223,2681,2607,2429,2654,2682,3625,3651
10:00,3002,4002,3832,3258,2257,2747,2512,2467,2671,2855,3612,3608
11:00,3112,4020,3908,3115,2262,2828,2502,2513,2593,2861,3633,3682
12:00,3192,4000,3926,2956,2267,2810,2454,2542,2639,2767,3605,3647
13:00,3130,3902,3871,2792,2198,2738,2444,2515,2696,2721,3616,3560
14:00,3087,3898,3844,2726,2165,2717,2416,2481,2633,2650,3667,3582
15:00,3054,3881,3803,2682,2123,2668,2345,2451,2739,2564,3663,3642
16:00,3186,3884,3766,2700,2096,2597,2306,2446,2727,2516,3701,3714
17:00,3342,3867,3693,2712,2120,2511,2252,2372,2579,2590,3745,3802
18:00,3393,4062,3783,2810,2196,2525,2245,2410,2669,2688,3825,3813
19:00,3361,4045,3817,2816,2151,2444,2275,2396,2648,2785,3716,3669
20:00,3300,3887,3737,2871,2299,2410,2293,2343,2646,2815,3609,3577
21:00,3181,3730,3648,2816,2339,2344,2308,2285,2526,2724,3498,3454
22:00,3066,3550,3454,2659,2381,2295,2188,2254,2349,2607,3296,3258
23:00,2963,3324,3256,2554,2302,2248,2137,2152,2182,2496,3025,3044
0:00,2891,3145,3010,2419,2088,2047,1977,1913,1914,2348,2783,2789
1:00,2854,2977,2943,2206,2092,1853,1792,1756,1833,2252,2644,2696
2:00,2797,2904,2962,2205,2083,1759,1681,1653,1856,2206,2608,2655
