Hour,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1:00,1226,150,844,401,466,1044,530,267,468,847,179,280
2:00,1221,102,852,411,489,1043,479,244,453,904,175,309
3:00,1228,75,881,402,544,1014,458,221,447,879,169,365
4:00,1241,69,932,377,572,922,451,199,405,862,161,414
5:00,1233,65,1048,334,537,814,458,167,377,842,147,459
6:00,1198,65,1108,218,523,724,477,138,351,838,142,500
7:00,1113,62,1062,160,548,669,497,106,321,832,149,533
8:00,1031,72,1077,213,570,578,504,74,281,819,160,576
9:00,952,79,1077,261,508,501,520,54,247,801,164,602
10:00,873,91,1038,245,551,400,516,44,216,773,174,581
11:00,774,98,1024,222,706,349,511,38,188,719,211,576
12:00,636,109,970,151,779,360,472,38,181,683,268,563
13:00,467,120,970,172,816,428,393,42,180,640,301,519
14:00,424,123,985,219,793,565,373,42,177,603,358,504
15:00,415,127,1048,255,807,658,365,46,170,555,446,475
16:00,362,145,1055,253,848,717,344,47,158,527,495,459
17:00,354,158,1106,220,851,702,297,48,142,497,579,435
18:00,345,161,1093,186,839,765,251,49,129,447,674,424
19:00,399,183,1074,144,797,765,207,52,121,387,753,385
20:00,427,214,1055,105,732,713,207,55,103,338,802,342
21:00,454,252,1014,101,650,552,201,47,100,328,829,315
22:00,457,293,897,122,575,388,208,47,105,319,843,269
23:00,417,331,814,159,588,299,228,48,111,318,838,244
0:00,411,374,745,161,612,286,287,55,113,323,828,204
1:00,436,398,642,139,632,305,377,61,116,344,814,176
2:00,496,413,523,129,627,382,391,48,122,390,766,162
3:00,544,406,467,107,635,489,409,48,131,439,732,148
4:00,531,391,410,107,653,533,406,54,138,489,704,137
5:00,512,401,381,89,662,493,393,63,134,562,670,141
6:00,522,407,369,84,669,391,395,84,131,685,628,151
7:00,496,431,341,77,659,292,381,132,128,786,580,172
8:00,517,425,296,68,574,197,381,170,126,889,539,213
9:00,516,435,252,86,362,123,364,224,125,981,501,278
10:00,450,405,197,80,261,102,439,263,118,1056,453,341
11:00,365,421,119,55,416,81,435,295,104,1120,438,404
12:00,352,405,79,41,687,60,459,325,91,1189,437,449
13:00,349,362,82,20,722,67,558,380,94,1213,429,506
14:00,334,338,92,27,713,83,629,460,90,1198,386,548
15:00,334,305,82,29,728,84,716,527,92,1170,370,582
16:00,326,277,88,48,747,77,805,571,94,1126,503,602
17:00,368,299,134,72,764,66,870,594,97,1063,478,651
18:00,382,325,167,105,793,57,979,580,102,962,456,688
19:00,372,348,237,142,775,56,1045,519,104,869,433,718
20:00,361,336,251,121,744,75,1139,449,112,814,420,735
21:00,350,319,319,152,632,58,1127,372,128,772,368,811
22:00,346,336,399,177,567,60,1133,304,133,760,353,850
23:00,317,301,500,215,580,92,1115,283,140,784,284,876
0:00,306,298,622,222,648,144,1062,253,154,793,251,918
1:00,353,271,701,233,648,168,1025,228,169,799,219,961
2:00,318,230,759,231,639,193,1045,197,169,833,142,1042
3:00,319,211,885,238,614,205,1073,183,170,834,113,1072
4:00,365,187,973,239,619,232,1080,160,188,801,86,1100
5:00,340,188,1016,183,608,240,1075,134,208,754,72,1120
6:00,347,203,973,165,655,252,1064,105,223,713,63,1127
7:00,385,227,987,157,680,250,1086,85,234,642,64,1117
8:00,407,272,1041,128,668,235,1124,81,243,608,74,1100
9:00,385,298,1033,115,643,224,1142,83,247,579,108,1063
10:00,469,273,943,65,680,209,1148,102,255,563,122,1027
11:00,477,278,946,41,730,205,1136,145,256,619,133,973
12:00,519,303,980,26,718,237,1238,168,266,669,164,919
13:00,509,292,955,18,803,250,1206,207,276,757,186,850
14:00,543,279,918,17,902,260,1167,272,308,818,225,769
15:00,674,277,833,24,940,287,1072,297,333,950,286,682
16:00,887,331,677,31,945,292,996,289,344,990,315,603
17:00,1140,383,624,33,949,266,1038,275,350,1057,354,561
18:00,1228,370,538,39,936,233,987,289,357,1085,393,541
19:00,1328,340,450,34,902,184,906,307,366,1128,410,532
20:00,1363,333,490,26,885,166,675,375,395,1164,402,508
21:00,1387,343,508,34,802,154,541,427,415,1179,432,483
22:00,1401,372,446,49,732,150,463,443,397,1193,458,461
23:00,1367,388,358,52,711,204,491,524,370,1216,474,434
0:00,1346,414,247,59,658,296,566,615,368,1229,473,412
1:00,1347,416,197,51,731,303,582,651,373,1232,468,417
2:00,1352,397,171,43,803,285,573,631,440,1241,528,454
3:00,1354,376,146,44,878,242,570,643,440,1237,543,453
4:00,1286,414,113,38,938,218,632,682,454,1237,577,450
5:00,1218,443,93,44,997,234,652,681,448,1233,578,442
6:00,1156,460,76,56,1039,216,595,708,461,1231,591,440
7:00,1205,470,125,69,1059,189,571,696,454,1209,587,439
8:00,1281,452,169,72,1031,140,551,717,429,1181,580,437
9:00,1266,440,186,73,955,82,546,715,406,1119,560,427
10:00,1200,470,258,59,936,44,521,701,388,1060,538,400
