CET_TimeStamp,Actual_Total_Load,Day_Ahead_Price,Wind_Onshore_Gen_Actual,Wind_Onshore_generation_forecast,Residual_load
01.01.2017 01:00,2388,24.03,1226,1151,1162
01.01.2017 02:00,2342,24.03,1221,1151,1121
01.01.2017 03:00,2291,24.02,1228,1140,1063
01.01.2017 04:00,2189,23.19,1241,1133,948
01.01.2017 05:00,2155,24.1,1233,1113,922
01.01.2017 06:00,2159,25.01,1198,1078,961
01.01.2017 07:00,2228,25.62,1113,1032,1115
01.01.2017 08:00,2352,25.87,1031,979,1321
01.01.2017 09:00,2427,26.18,952,919,1475
01.01.2017 10:00,2470,25.74,873,856,1597
01.01.2017 11:00,2624,26.89,774,791,1850
01.01.2017 12:00,2792,27.48,636,725,2156
01.01.2017 13:00,2927,28.04,467,653,2460
01.01.2017 14:00,2922,28.7,424,569,2498
01.01.2017 15:00,2839,29.66,415,484,2424
01.01.2017 16:00,2941,30.38,362,420,2579
01.01.2017 17:00,3106,30.8,354,382,2752
01.01.2017 18:00,3168,30.93,345,360,2823
01.01.2017 19:00,3093,30.78,399,353,2694
01.01.2017 20:00,3024,30.51,427,343,2597
01.01.2017 21:00,2929,30.19,454,351,2475
01.01.2017 22:00,2815,29.94,457,358,2358
01.01.2017 23:00,2749,29.65,417,361,2332
01.02.2017 00:00,2663,29.36,411,369,2252
01.02.2017 01:00,2627,29.4,436,408,2191
01.02.2017 02:00,2544,28.91,496,422,2048
01.02.2017 03:00,2529,28.11,544,446,1985
01.02.2017 04:00,2591,27.89,531,464,2060
01.02.2017 05:00,2690,28.26,512,473,2178
01.02.2017 06:00,2867,30.43,522,477,2345
01.02.2017 07:00,3327,32.85,496,475,2831
01.02.2017 08:00,3715,33.91,517,471,3198
01.02.2017 09:00,3855,34.87,516,461,3339
01.02.2017 10:00,3957,35.22,450,454,3507
01.02.2017 11:00,4058,35.41,365,444,3693
01.02.2017 12:00,4025,35.07,352,424,3673
01.02.2017 13:00,3914,34.85,349,404,3565
01.02.2017 14:00,3941,34.7,334,407,3607
01.02.2017 15:00,3970,34.8,334,417,3636
01.02.2017 16:00,4110,35.93,326,415,3784
01.02.2017 17:00,4245,37.52,368,412,3877
01.02.2017 18:00,4266,40.01,382,389,3884
01.02.2017 19:00,4222,39.17,372,387,3850
01.02.2017 20:00,4121,35.52,361,392,3760
01.02.2017 21:00,3959,35.23,350,354,3609
01.02.2017 22:00,3773,34.74,346,330,3427
01.02.2017 23:00,3585,32.99,317,310,3268
01.03.2017 00:00,3405,30.94,306,295,3099
01.03.2017 01:00,3154,30.65,353,222,2801
01.03.2017 02:00,3095,30.37,318,207,2777
01.03.2017 03:00,3071,30.15,319,197,2752
01.03.2017 04:00,3034,30.14,365,207,2669
01.03.2017 05:00,3080,30.4,340,201,2740
01.03.2017 06:00,3234,32.24,347,222,2887
01.03.2017 07:00,3566,33.5,385,243,3181
01.03.2017 08:00,3939,35.8,407,251,3532
01.03.2017 09:00,4109,36.78,385,277,3724
