CET_TimeStamp,Actual_Total_Load,Day_Ahead_Price,Wind_Onshore_Gen_Actual,Wind_Onshore_generation_forecast,Residual_load
01.01.2016 01:00,2707,16.39,206,257,2501
01.01.2016 02:00,2624,16.04,185,241,2439
01.01.2016 03:00,2543,15.74,175,222,2368
01.01.2016 04:00,2480,15.57,171,201,2309
01.01.2016 05:00,2467,15.47,158,184,2309
01.01.2016 06:00,2517,15.75,124,172,2393
01.01.2016 07:00,2605,15.36,95,160,2510
01.01.2016 08:00,2636,15.37,99,149,2537
01.01.2016 09:00,2646,15.19,136,141,2510
01.01.2016 10:00,2657,15.39,161,138,2496
01.01.2016 11:00,2733,15.78,199,133,2534
01.01.2016 12:00,2825,16.15,181,124,2644
01.01.2016 13:00,2899,16.5,147,125,2752
01.01.2016 14:00,2944,16.72,135,129,2809
01.01.2016 15:00,2967,17.17,143,132,2824
01.01.2016 16:00,3059,18,173,135,2886
01.01.2016 17:00,3212,18.53,195,147,3017
01.01.2016 18:00,3256,19.11,225,163,3031
01.01.2016 19:00,3192,18.68,267,193,2925
01.01.2016 20:00,3034,17.93,375,230,2659
01.01.2016 21:00,2963,17.69,394,275,2569
01.01.2016 22:00,2874,17.33,424,337,2450
01.01.2016 23:00,2792,16.75,426,399,2366
01.02.2016 00:00,2684,16.25,495,440,2189
01.02.2016 01:00,2421,16.47,676,476,1745
01.02.2016 02:00,2356,15.89,742,523,1614
01.02.2016 03:00,2360,15.03,818,617,1542
01.02.2016 04:00,2369,13.19,892,693,1477
01.02.2016 05:00,2459,12.69,926,771,1533
01.02.2016 06:00,2580,12.94,954,838,1626
01.02.2016 07:00,2696,13.59,1023,903,1673
01.02.2016 08:00,2817,14.25,1077,949,1740
01.02.2016 09:00,3005,15.7,1090,999,1915
01.02.2016 10:00,3174,15.72,1102,1020,2072
01.02.2016 11:00,3435,15.97,1071,1031,2364
01.02.2016 12:00,3491,16.14,1060,1039,2431
01.02.2016 13:00,3589,15.87,1027,1053,2562
01.02.2016 14:00,3596,15.98,1015,1050,2581
01.02.2016 15:00,3611,16.12,1017,1056,2594
01.02.2016 16:00,3705,16.57,1009,1048,2696
01.02.2016 17:00,3853,17.29,1034,1036,2819
01.02.2016 18:00,3857,17.52,1076,1045,2781
01.02.2016 19:00,3825,17.37,1093,1051,2732
01.02.2016 20:00,3700,16.95,1074,1046,2626
01.02.2016 21:00,3613,16.56,1045,1033,2568
01.02.2016 22:00,3468,15.83,1030,1018,2438
01.02.2016 23:00,3355,15.82,1004,993,2351
01.03.2016 00:00,3213,15.31,1000,971,2213
01.03.2016 01:00,3088,15.99,993,944,2095
01.03.2016 02:00,3023,15.87,956,924,2067
01.03.2016 03:00,3011,15.76,931,910,2080
01.03.2016 04:00,2996,15.59,912,882,2084
01.03.2016 05:00,3015,15.69,876,839,2139
01.03.2016 06:00,3099,15.83,822,808,2277
01.03.2016 07:00,3174,14.98,783,777,2391
01.03.2016 08:00,3267,15.53,757,744,2510
01.03.2016 09:00,3323,15.79,754,712,2569
01.03.2016 10:00,3418,16.36,735,706,2683
01.03.2016 11:00,3543,17.15,735,704,2808
01.03.2016 12:00,3608,17.94,747,714,2861
01.03.2016 13:00,3604,17.94,762,720,2842
01.03.2016 14:00,3617,17.66,740,710,2877
01.03.2016 15:00,3636,17.66,711,691,2925
01.03.2016 16:00,3677,17.6,711,661,2966
01.03.2016 17:00,3865,18.61,697,631,3168
01.03.2016 18:00,3948,19.11,702,613,3246
01.03.2016 19:00,3926,18.86,667,601,3259
01.03.2016 20:00,3832,18.51,641,581,3191
01.03.2016 21:00,3716,18.08,612,562,3104
01.03.2016 22:00,3576,17.72,594,545,2982
01.03.2016 23:00,3403,17.03,595,536,2808
01.04.2016 00:00,3263,15.74,591,528,2672
01.04.2016 01:00,3215,15.96,587,567,2628
01.04.2016 02:00,3195,15.81,564,584,2631
01.04.2016 03:00,3168,15.56,606,607,2562
01.04.2016 04:00,3192,15.57,620,629,2572
01.04.2016 05:00,3257,15.92,621,634,2636
01.04.2016 06:00,3409,16.76,638,657,2771
01.04.2016 07:00,3769,18.01,623,682,3146
01.04.2016 08:00,4133,19.54,620,695,3513
01.04.2016 09:00,4227,20.49,643,703,3584
01.04.2016 10:00,4254,20.49,666,713,3588
01.04.2016 11:00,4287,20.47,695,735,3592
01.04.2016 12:00,4218,20.14,763,766,3455
01.04.2016 13:00,4108,19.85,793,801,3315
01.04.2016 14:00,4106,19.83,768,830,3338
01.04.2016 15:00,4142,19.88,732,835,3410
01.04.2016 16:00,4288,20.09,662,830,3626
01.04.2016 17:00,4426,22.06,615,762,3811
01.04.2016 18:00,4392,28.48,659,739,3733
01.04.2016 19:00,4292,20.54,674,754,3618
01.04.2016 20:00,4201,19.77,679,771,3522
01.04.2016 21:00,4012,19.05,695,764,3317
01.04.2016 22:00,3860,18.5,644,747,3216
01.04.2016 23:00,3638,17.71,660,737,2978
01.05.2016 00:00,3433,17.03,656,721,2777
01.05.2016 01:00,3252,17.68,612,612,2640
01.05.2016 02:00,3236,17.33,560,601,2676
01.05.2016 03:00,3220,17.24,555,596,2665
01.05.2016 04:00,3226,17.32,540,592,2686
01.05.2016 05:00,3254,17.66,518,559,2736
