Hour,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0:00,,353,199,320,56,199,1108,120,553,1037,205,118
1:00,1320,344,165,306,113,210,1080,99,596,1131,226,88
2:00,1350,332,132,282,109,213,1070,95,607,1073,211,83
3:00,1378,330,107,248,105,217,1033,91,602,1040,192,84
4:00,1396,333,93,210,104,223,976,87,595,1018,174,93
5:00,1408,343,88,171,106,240,923,89,595,988,158,112
6:00,1419,356,93,133,113,265,907,90,599,934,146,139
7:00,1415,368,100,96,125,306,938,87,611,864,140,172
8:00,1428,374,94,68,144,367,989,84,590,794,147,200
9:00,1428,374,83,50,164,444,1022,81,546,734,165,216
10:00,1426,377,77,48,186,533,1047,79,509,716,203,220
11:00,1410,387,77,54,219,617,1077,77,487,711,245,213
12:00,1406,398,81,68,268,702,1124,74,470,683,298,212
13:00,1360,409,85,90,329,802,1172,71,454,635,355,222
14:00,1336,405,78,115,401,902,1208,68,448,578,390,248
15:00,1323,387,63,137,480,967,1236,62,451,526,408,288
16:00,1281,375,50,159,563,998,1256,55,450,475,437,339
17:00,1250,377,42,183,646,1004,1262,48,453,421,495,366
18:00,1243,387,40,206,714,977,1247,43,429,382,579,371
19:00,1244,399,52,235,770,930,1218,43,381,371,653,374
20:00,1258,394,65,284,816,858,1180,46,336,395,677,385
21:00,1307,378,82,350,864,771,1143,51,311,429,663,393
22:00,1326,357,106,417,915,697,1106,64,309,465,628,395
23:00,1340,357,134,491,958,643,1076,87,321,499,587,385
0:00,1347,368,170,543,988,602,1061,107,330,521,541,365
1:00,1357,345,289,567,1032,616,1122,122,301,553,421,477
2:00,1359,366,323,596,1062,577,1125,146,299,569,388,440
3:00,1363,391,343,639,1087,532,1129,161,296,577,361,394
4:00,1357,418,353,689,1109,482,1132,165,285,580,333,360
5:00,1352,446,352,732,1130,427,1139,167,277,580,301,341
6:00,1334,468,344,760,1144,368,1152,147,276,569,268,336
7:00,1309,483,335,777,1153,313,1176,108,282,549,236,338
8:00,1287,495,326,791,1155,267,1212,77,282,523,209,335
9:00,1265,510,316,821,1131,229,1256,64,311,470,185,331
10:00,1243,531,322,899,1086,200,1299,64,380,439,166,325
11:00,1228,554,334,992,1034,183,1334,71,453,444,152,307
12:00,1219,573,359,1057,982,168,1350,73,522,456,144,289
13:00,1207,591,387,1091,935,151,1342,79,589,454,140,284
14:00,1182,607,419,1114,902,136,1315,86,649,444,139,307
