Hour,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0:00,,2059,3190,1983,2351,1576,1760,1646,1454,1046,2237,2636
1:00,2501,2086,3000,1975,2158,1417,1620,1515,1359,979,1974,2521
2:00,2439,2103,3010,1904,2051,1367,1516,1380,1339,930,1797,2538
3:00,2368,2114,3016,1853,2029,1369,1488,1302,1401,958,1623,2628
4:00,2309,2156,2979,1891,2089,1344,1441,1369,1445,990,1557,2592
5:00,2309,2181,2964,1974,2129,1298,1389,1431,1455,1222,1471,2661
6:00,2393,2438,3051,2184,2090,1405,1351,1468,1544,1262,1495,2837
7:00,2510,2982,3318,2719,2089,1886,1533,1682,1859,1382,1780,3159
8:00,2537,3485,3689,3192,2165,2369,1898,2011,2303,1527,2134,3334
9:00,2510,3607,3952,3326,2317,2637,2075,2233,2588,1901,2331,3293
10:00,2496,3637,3926,3050,2387,2670,2027,2284,2608,2118,2331,3194
11:00,2534,3797,3866,2973,2393,2672,2051,2274,2504,2132,2316,3202
12:00,2644,3778,3670,2892,2386,2462,2091,2210,2320,2074,2291,3204
13:00,2752,3446,3538,2744,2326,2245,1991,2144,2190,2144,2114,3259
14:00,2809,3249,3528,2648,2234,2281,1852,2094,2302,2114,2084,3162
15:00,2824,3010,3436,2619,2111,2348,1732,2004,2339,2119,1915,2977
16:00,2886,2846,3419,2663,2086,2441,1656,1759,2301,2147,1918,3037
17:00,3017,2822,3348,2648,2098,2344,1691,1630,2254,2144,2021,3147
18:00,3031,2772,3423,2759,2142,2322,1802,1696,2381,2229,2250,2977
19:00,2925,2594,3564,2849,2198,2295,1995,1718,2354,2313,2222,2660
20:00,2659,2512,3497,2917,2349,2263,2017,1789,2389,2387,2113,2592
21:00,2569,2296,3293,2960,2387,2175,2081,1656,2408,2247,1882,2391
22:00,2450,2116,3029,2848,2455,2094,1968,1561,2122,2102,1759,2216
23:00,2366,1870,2912,2563,2339,1984,1862,1443,1851,2027,1723,2018
0:00,2189,1694,2676,2290,2175,1776,1602,1220,1647,1972,1579,1794
1:00,1745,1590,2483,2056,2020,1447,1472,1085,1390,1894,1456,1859
2:00,1614,1544,2550,1952,2014,1296,1303,992,1193,1831,1409,1993
3:00,1542,1555,2536,1912,2021,1289,1209,936,1172,1799,1510,1959
4:00,1477,1546,2519,1955,2105,1262,1124,963,1144,1798,1485,1982
5:00,1533,1623,2494,2066,2161,1168,901,1024,1239,1806,1510,2105
6:00,1626,1853,2660,2027,2298,1234,940,1063,1360,1783,1665,2324
7:00,1673,2222,3149,2022,2707,1696,1106,1368,1725,1811,2103,2693
8:00,1740,2612,3493,2118,3037,2300,1322,1840,2247,1783,2374,3080
9:00,1915,2636,3583,2427,3120,2569,1574,1960,2468,1886,2521,3084
10:00,2072,2636,3591,2665,3089,2606,1526,2017,2401,2017,2494,3153
11:00,2364,2641,3739,2602,3058,2570,1584,2112,2252,2069,2579,3230
12:00,2431,2595,3495,2246,3017,2355,1464,2106,2306,2096,2537,3232
13:00,2562,2588,3456,1982,2899,2235,1526,2143,2206,2108,2465,3147
14:00,2581,2571,3447,1858,2836,2287,1683,2147,2190,2088,2494,3091
15:00,2594,2557,3410,1764,2737,2161,1730,2048,2149,2031,2540,3065
16:00,2696,2616,3391,1809,2671,1950,1778,2103,2187,2038,2627,3115
17:00,2819,2621,3286,1868,2524,1925,1990,1993,2163,2060,2765,3246
18:00,2781,2767,3309,2108,2469,2112,2006,2083,2227,2176,2926,3210
19:00,2732,2694,3275,2280,2397,2240,2021,2093,2159,2178,2846,2960
20:00,2626,2597,3047,2336,2418,2243,1920,2097,1973,2105,2821,2814
21:00,2568,2466,2744,2338,2313,2185,1848,2009,1990,1974,2680,2716
22:00,2438,2277,2484,2161,2274,2025,1707,1946,1835,1791,2545,2671
23:00,2351,2043,2097,2085,2058,1859,1625,1769,1717,1596,2297,2583
0:00,2213,1839,2011,1962,1819,1550,1517,1549,1549,1447,2072,2583
1:00,2095,1710,2127,1839,1726,1429,1283,1463,1364,1321,2003,2608
2:00,2067,1622,2289,1749,1632,1364,1114,1470,1228,1148,2076,2606
3:00,2080,1583,2504,1771,1571,1362,1134,1494,1296,1068,2136,2501
4:00,2084,1592,2604,1870,1522,1396,1128,1555,1345,993,2254,2455
5:00,2139,1678,2759,1927,1534,1295,1042,1566,1284,952,2270,2389
6:00,2277,1825,2922,2108,1686,1367,1004,1586,1255,1081,2426,2319
7:00,2391,2251,3447,2246,2042,1885,1184,1765,1337,1392,2808,2424
8:00,2510,2703,3807,2298,2493,2433,1358,2020,1395,1783,3209,2499
9:00,2569,2806,3937,2462,2774,2644,1406,2199,1464,1944,3390,2621
10:00,2683,2788,3917,2593,2746,2644,1514,2192,1508,2037,3404,2743
11:00,2808,2829,3942,2650,2679,2683,1525,2135,1444,2112,3428,2820
12:00,2861,3010,3907,2665,2641,2650,1578,1977,1438,2160,3387,2826
13:00,2842,3030,3783,2626,2528,2551,1567,1806,1365,2116,3214,2818
14:00,2877,2931,3708,2573,2559,2513,1471,1709,1356,2100,3252,2844
15:00,2925,2836,3672,2484,2587,2438,1350,1606,1336,2136,3302,2943
16:00,2966,2945,3671,2406,2589,2370,1378,1615,1386,2181,3376,3089
17:00,3168,3178,3594,2465,2446,2244,1538,1728,1517,2070,3510,3265
18:00,3246,3430,3720,2660,2379,2257,1716,1773,1526,2181,3653,3386
19:00,3259,3283,3804,2691,2462,2247,1839,1649,1715,2347,3588,3421
20:00,3191,3130,3763,2592,2530,2228,1922,1642,1796,2409,3468,3420
21:00,3104,2925,3645,2631,2523,2165,1946,1556,1749,2131,3296,3301
22:00,2982,2614,3478,2490,2513,2101,1883,1499,1583,1824,3060,3156
23:00,2808,2322,3236,2358,2356,2061,1724,1205,1405,1521,2842,3047
0:00,2672,2133,3046,2175,2087,1862,1381,1061,1251,1291,2624,2957
1:00,2628,2024,2876,2068,1818,1676,1145,1090,1292,1145,2554,2809
2:00,2631,1953,2838,2012,1666,1582,1088,1117,1308,1082,2445,2731
3:00,2562,1988,2821,1952,1632,1568,1131,1114,1289,1095,2366,2724
4:00,2572,2026,2830,1918,1645,1551,1115,1047,1286,1053,2340,2669
5:00,2636,2053,2851,1953,1678,1527,1084,1098,1318,1107,2414,2519
6:00,2771,2185,3004,2159,1784,1553,1353,1180,1403,1387,2560,2458
7:00,3146,2727,3464,2586,2297,1652,1809,1380,1430,1812,2967,2560
8:00,3513,3178,3746,2876,2778,1781,2120,1657,1558,2208,3333,2642
9:00,3584,3313,3882,3143,2897,1998,2227,1842,1814,2274,3462,2651
10:00,3588,3422,3890,3255,2840,2170,2265,1894,1998,2560,3477,2771
11:00,3592,3564,3889,3250,2798,2201,2284,2034,2089,2551,3499,2827
12:00,3455,3467,3850,3194,2723,2137,2235,2011,2166,2325,3443,2857
13:00,3315,3288,3773,3084,2595,2095,2148,1870,2215,2132,3345,2846
14:00,3338,3134,3684,3056,2577,1983,2148,1866,2189,2151,3205,2798
15:00,3410,3074,3618,3027,2440,1943,2134,1704,2163,2090,3017,2735
16:00,3626,3130,3576,2969,2319,1966,2118,1637,2132,2115,2959,2842
17:00,3811,3178,3551,2885,2301,1975,2214,1730,2124,2060,3023,2951
18:00,3733,3457,3660,2885,2380,2039,2212,1760,2163,2168,3023,2903
19:00,3618,3444,3661,2753,2389,2114,2149,1786,2246,2323,2874,2696
20:00,3522,3322,3451,2719,2397,2122,2165,1817,2300,2363,2756,2533
21:00,3317,3274,3167,2551,2419,2043,2197,1978,2275,2077,2580,2306
22:00,3216,3155,2960,2371,2464,1774,2109,1927,2168,1913,2350,2100
23:00,2978,2943,2817,2315,2321,1653,1936,1809,1798,1714,2183,1874
0:00,2777,2649,2693,2024,2161,1483,1718,1560,1662,1430,2091,1714
1:00,2640,2341,2565,2018,1903,1382,1505,1354,1534,1373,2006,1667
2:00,2676,2085,2406,2072,1781,1341,1441,1249,1339,1253,1928,1520
3:00,2665,2516,2245,2033,1723,1397,1384,1182,1186,1267,1874,1403
4:00,2686,2498,2193,2101,1752,1412,1364,1272,1179,1253,1790,1376
5:00,2736,2544,2206,2265,1782,1346,1457,1323,1219,1203,1707,1410
6:00,3052,2659,2091,2521,1734,1325,1616,1328,1378,1378,1673,1516
7:00,3346,3158,2078,2975,1803,1417,1945,1560,1718,1818,1717,1904
8:00,3577,3569,2256,3318,2123,1554,2410,1936,2173,2151,1818,2342
9:00,3765,3625,2547,3370,2333,1718,2628,2216,2516,2300,1923,2494
10:00,3804,3630,2788,3336,2387,1868,2609,2248,2625,2317,2090,2552
11:00,3979,3687,2798,3373,2377,1986,2615,2256,2691,2275,2141,2645
12:00,3939,3721,2697,3376,2350,2025,2604,2220,2708,2144,2121,2695
13:00,3841,3580,2684,3189,2272,2015,2553,2161,2688,1887,2215,2844
14:00,3794,3520,2636,3107,2193,1943,2551,2183,2757,1898,2221,2929
15:00,3796,3605,2389,3060,2088,1839,2516,2104,2790,1876,1978,2930
16:00,3877,3622,2259,3068,2051,1766,2566,2050,2767,1839,1873,3069
17:00,3900,3661,2353,3021,2028,1749,2449,1966,2685,1850,2030,3293
18:00,3939,3727,2586,3028,2055,1614,2486,1902,2629,2009,2082,3359
19:00,3795,3572,2608,2960,2103,1635,2429,1922,2570,2111,2065,3303
20:00,3647,3245,2493,2851,2185,1703,2384,1899,2548,2189,2018,3266
21:00,3682,2943,2335,2882,2170,1758,2233,1896,2573,1973,1911,3122
22:00,3550,2813,2299,2810,2195,1714,2089,1860,2471,1730,1859,3076
23:00,3385,2776,2238,2552,2078,1577,2042,1683,2321,1506,1811,2857
0:00,3110,2655,2131,2372,1958,1376,1823,1425,2062,1329,1750,2495
1:00,2894,2460,1952,2144,1847,1365,1659,1172,1913,1369,1633,2326
2:00,2781,2352,1926,1917,1827,1324,1512,972,1831,1286,1568,2283
3:00,2838,2256,1895,1517,1843,1280,1196,997,1772,1154,1557,2260
4:00,2790,2193,1994,1065,1893,1294,996,956,1785,1088,1587,2298
5:00,2801,2040,2190,1055,1928,1227,906,984,1796,1097,1547,2425
6:00,2855,1964,2374,1073,1957,1310,956,1043,1927,1230,1527,2673
7:00,2991,1988,2474,1422,2214,1472,1232,1129,2229,1654,1620,3154
8:00,3209,2091,2552,2014,2438,1659,1551,1282,2577,2016,1648,3440
9:00,3332,2241,2705,2215,2622,1753,1702,1340,2705,2087,1685,3573
10:00,3484,2392,2888,2052,2644,1910,1952,1345,2727,2112,1817,3700
11:00,3549,2382,3001,2106,2573,2033,2000,1274,2812,2153,1864,3851
12:00,3705,2321,3089,2158,2453,2077,2074,1160,2768,2059,1873,3863
13:00,3673,2318,3172,2079,2310,2047,2037,1184,2583,2027,1833,3773
14:00,3559,2339,3233,2195,2141,2017,1819,1086,2442,2067,1817,3791
15:00,3562,2390,3273,2271,1942,1963,1593,1172,2329,2025,1719,3837
16:00,3562,2543,3349,2347,1782,1976,1523,1286,2289,1994,1750,3917
17:00,3619,2608,3418,2345,1737,2003,1455,1259,2212,2001,1966,4105
18:00,3616,2810,3394,2350,1877,2050,1557,1299,2268,2126,2136,4172
19:00,3594,2772,3631,2445,2036,2041,1621,1291,2294,2226,2181,4185
20:00,3510,2524,3583,2735,1989,2074,1802,1260,2140,2170,2141,4094
21:00,3407,2305,3469,2798,1997,2086,1711,1268,2000,2014,2074,3913
22:00,3284,2150,3319,2501,1967,2017,1693,1261,1725,1740,1972,3778
23:00,3210,2184,3187,2239,1784,1911,1474,1072,1383,1545,1888,3437
0:00,3109,2119,3039,1924,1635,1705,1197,922,1236,1338,1881,3120
