Hour,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0:00,,798,150,517,259,662,228,142,394,882,251,458
1:00,257,823,123,650,231,661,202,130,394,890,310,319
2:00,241,797,115,658,181,642,186,120,388,841,388,304
3:00,222,768,111,650,149,631,193,112,371,796,483,297
4:00,201,723,110,642,130,617,214,116,341,750,584,282
5:00,184,669,116,649,112,596,249,129,310,672,654,293
6:00,172,596,123,654,96,557,282,119,278,611,711,323
7:00,160,517,137,646,84,523,328,117,258,523,774,355
8:00,149,438,152,649,68,480,377,116,245,461,810,389
9:00,141,382,160,639,54,454,432,122,224,392,857,426
10:00,138,343,182,646,36,452,486,151,241,339,878,507
11:00,133,327,185,648,47,449,544,182,260,297,927,588
12:00,124,352,186,653,50,472,622,231,294,259,994,654
13:00,125,420,185,659,59,499,667,273,335,233,1033,720
14:00,129,553,194,649,70,522,715,335,382,200,1070,765
15:00,132,720,197,619,65,537,755,398,406,168,1124,799
16:00,135,906,212,586,70,562,737,450,429,139,1142,892
17:00,147,1052,231,550,82,566,706,501,452,113,1159,958
18:00,163,1163,275,483,93,559,639,494,436,96,1175,1001
19:00,193,1242,332,380,93,527,558,508,408,88,1178,986
20:00,230,1271,348,293,111,508,470,510,370,87,1166,1012
21:00,275,1286,367,245,96,496,408,484,367,86,1143,1057
22:00,337,1327,374,219,84,485,358,463,382,85,1132,1067
23:00,399,1338,373,203,78,484,329,457,397,89,1137,1071
0:00,440,1348,395,187,74,489,336,459,419,90,1144,1075
1:00,476,1359,398,207,71,452,381,478,399,90,1110,1209
2:00,523,1369,411,240,63,457,408,468,421,88,1082,1165
3:00,617,1369,428,271,40,462,435,452,423,93,1066,1096
4:00,693,1373,460,273,33,451,470,432,426,100,1055,1037
5:00,771,1360,492,270,27,434,504,393,414,124,1041,978
6:00,838,1359,537,284,32,400,524,357,402,145,1041,942
7:00,903,1354,565,298,29,363,543,313,368,170,1034,904
8:00,949,1351,580,326,18,333,565,273,353,185,1066,865
9:00,999,1339,589,351,29,316,545,258,361,184,1089,828
10:00,1020,1339,589,329,29,328,527,255,386,186,1111,819
11:00,1031,1343,582,330,34,343,536,260,370,189,1133,812
12:00,1039,1343,589,323,50,372,523,268,396,192,1155,788
13:00,1053,1343,557,350,73,392,509,293,387,201,1175,759
14:00,1050,1352,546,396,106,415,500,298,397,215,1173,738
15:00,1056,1355,525,425,133,435,440,301,395,227,1166,718
16:00,1048,1361,528,434,160,442,400,293,387,233,1156,704
17:00,1036,1367,493,430,178,448,378,273,372,256,1138,678
18:00,1045,1371,437,420,188,465,326,248,355,257,1115,658
19:00,1051,1369,408,424,203,459,294,202,342,290,1092,624
20:00,1046,1379,386,439,243,433,267,176,350,302,1060,602
21:00,1033,1380,332,450,266,414,246,154,365,354,1038,569
22:00,1018,1375,301,460,305,416,246,139,399,386,1011,548
23:00,993,1376,269,466,334,426,264,130,438,412,970,499
